Item,Type,Date,Document Number,Description,Qty. Sold,Sales Price,Revenue,Address: Billing Address State,Customer/Project: Company Name
,Invoice,1/7/2019,INV18164,"PRM-10/20 replacement bulb (a 6"" lens offset to the left side of the projector).",25,$129.00,"$3,225.00",AK,Clark Middle School
,Invoice,11/18/2019,INV18895,ActivConnect OPS - AP PC for Android.,1,$199.00,$199.00,AK,Credit Union 1
,Invoice,11/18/2019,INV18895,"ActivPanel Titanium 75"" - 4 x Pen, Vesa Mount, WIFI Module & cable pack included. ActivInspire Professional Edition available FOC",1,"$4,799.00","$4,799.00",AK,Credit Union 1
,Invoice,7/1/2019,INV18511,Safari Montage - K-12 Super Core Content Package (Renewal),1,"$2,500.00","$2,500.00",AK,Nome Public Schools
,Invoice,7/1/2019,INV18511,Safari Montage Additional Schlessinger Media K-8 Content Package,1,$495.00,$495.00,AK,Nome Public Schools
,Invoice,7/1/2019,INV18511,Safari Montage Algebra's Cool - Content Package (Renewal),1,$500.00,$500.00,AK,Nome Public Schools
,Invoice,7/1/2019,INV18511,Safari Montage K-6 Supplemental Content Package (Renewal),1,$250.00,$250.00,AK,Nome Public Schools
,Invoice,7/1/2019,INV18511,"SAFARI Montage Learning Object Repository Annual School License Renewal - Interoperability Support Service - SAFARI Montage LOR Exchange Proxy Server Software - Annual software upgrades and tech support for CreationStation, Managed Home Access, Multi-Format Auto-Converter - Excludes hardware",1,"$1,500.00","$1,500.00",AK,Nome Public Schools
,Invoice,7/1/2019,INV18511,Safari Montage Math's Cool - Content Package (Renewal),1,$500.00,$500.00,AK,Nome Public Schools
,Invoice,7/1/2019,INV18511,Safari Montage Visual Dictionary Interactive Image Content Package (Renewal),1,$295.00,$295.00,AK,Nome Public Schools
,Invoice,7/1/2019,INV18511,Safari Montage-Additional Schlessinger Media 9-12 Content Package (Renewal),1,$295.00,$295.00,AK,Nome Public Schools
,Invoice,7/1/2019,INV18511,Video Ency 20th Century Content Package (Renewal) - Content Renewal Period 8/30/2019 - 8/29/2020,1,$295.00,$295.00,AK,Nome Public Schools
