Item,Type,Date,Document Number,Description,Qty. Sold,Sales Price,Revenue,Address: Billing Address State,Customer/Project: Company Name
,Invoice,4/16/18,INV17524,BoxLight MimioHub,3.00,$40.00 ,$120.00 ,AK,Ketchikan Gateway Borough SD
,Invoice,4/16/18,INV17524,MimioPad,3.00,$299.00 ,$897.00 ,AK,Ketchikan Gateway Borough SD
,Invoice,3/31/18,INV17480,Clear Touch CTI-STAND-FIXM: Fixed Mobile Stand (for use with ALL H+ Series Interactive Panels)  NEEDS VESA MOUNTED BRACKET,1.00,$599.00 ,$599.00 ,AK,Kodiak Area Native Association
,Invoice,3/31/18,INV17480,Clear Touch Fixed Wall Mount (for use with ALL H+ Series Interactive Panels),2.00,$149.00 ,$298.00 ,AK,Kodiak Area Native Association
,Invoice,3/31/18,INV17480,"Clear Touch Panel 65"" 6000 Series 4K Interactive Panel with USB HID / AGG / 20 Points of Touch - Ultra HD. Includes basic cabling kit, fixed wall mount, Easi software, Snowflake software and DisplayNote software.",2.00,"$2,899.00 ","$5,798.00 ",AK,Kodiak Area Native Association
,Invoice,3/31/18,INV17480,Clear Touch PC Module - No Operating System (i7 Dual Core / 16GB DDR4 / 240GB SSD / Ultra HD) (for use with 6000U series),2.00,"$1,335.00 ","$2,670.00 ",AK,Kodiak Area Native Association
,Invoice,9/4/18,INV17859,Safari Montage Additional Schlessinger Media K-8 Content Package,1.00,$495.00 ,$495.00 ,AK,Nome Public Schools
,Invoice,9/4/18,INV17859,SAFARI Montage Algebra's Cool - Content Package Renewal,1.00,$500.00 ,$500.00 ,AK,Nome Public Schools
,Invoice,9/4/18,INV17859,SAFARI Montage K-12 Super Core Content Package (Renewal),1.00,"$2,500.00 ","$2,500.00 ",AK,Nome Public Schools
,Invoice,9/4/18,INV17859,Safari Montage K-6 Supplemental Content Package (Renewal),1.00,$250.00 ,$250.00 ,AK,Nome Public Schools
,Invoice,9/4/18,INV17859,"SAFARI Montage Learning Object Repository Annual School License Renewal - Interoperability Support Service - SAFARI Montage LOR Exchange Proxy Server Software - Annual software upgrades and tech support for CreationStation, Managed Home Access, Multi-Format Auto-Converter - Excludes hardware  LOR Renewal Period 8/30/2018-8/29/2018",1.00,"$1,500.00 ","$1,500.00 ",AK,Nome Public Schools
,Invoice,9/4/18,INV17859,SAFARI Montage Math's Cool - Content Package - Renewal,1.00,$500.00 ,$500.00 ,AK,Nome Public Schools
,Invoice,9/4/18,INV17859,Safari Montage Video Ency 20th Century Content Package,1.00,$295.00 ,$295.00 ,AK,Nome Public Schools
,Invoice,9/4/18,INV17859,Safari Montage Visual Dictionary Interactive Image Content Package (Renewal),1.00,$295.00 ,$295.00 ,AK,Nome Public Schools
,Invoice,9/4/18,INV17859,Safari Montage-Additional Schlessinger Media 9-12 Content Package (Renewal),1.00,$295.00 ,$295.00 ,AK,Nome Public Schools
,,,,,,,,,
,,,,,,,,,
,Invoice,7/2/18,INV17707,Certified Professional Installation of Panel on Cart,1.00,$300.00 ,$300.00 ,CA,Andrew Jackson Elementary School
,Invoice,7/2/18,INV17707,"Mobile Stand for Procolor panels, includes PROCOLOR-WALLMOUNT-002",1.00,$499.00 ,$499.00 ,CA,Andrew Jackson Elementary School
,Invoice,6/4/18,INV17624,"ActivPanel 75"" 4K with activConnect OPS-G - 2 x Pen, Vesa mount & cable pack included. ActivInspire Professional Edition available FOC.",10.00,"$3,999.00 ","$39,990.00 ",CA,Antelope Valley High School
,Invoice,4/11/18,INV17512,ActivPanel Mobile Stand - For use with current & previous versions of ActivPanel *,1.00,$599.00 ,$599.00 ,CA,Antelope Valley High School
,Invoice,7/2/18,INV17699,"Audio Enhancement CA 60 Sentinel XD System Pal with 4 ceiling speakers 3010-0100 Power Supply 24V, 2.5A 3000-0473 Amp, CA-60  1300-1233 50' Cable, Cat6 w molded boot (plenum rated) 3200-0003 50' Cable, speaker wire (plenum rated) 3200-0002 75' Cable, speaker wire (plenum rated) 3300-0043 Tile Bridge CS-12 (4 each) 3300-0044 CS-12 Speaker, Ceiling speaker, (plenum rated) (4 each) 3000-0600 Sensor, XD Receiver, SRC14 3100-0601 Mic, AE, XD Teardrop, STD14 3100-0650 Mic, XS Handheld, SHH14 3210-0206 6' Cable, USB 2.0 A male to Micro-USB B Male for XD Mics (2 each) 3110-0012 Charger, Dual USB Wall mount charger block for XD Microphones  3120-0006 Batter Li-iON Battery Pack, 3.7V, 700 mAh 2.6 Wh for XD Microphones",10.00,"$1,295.00 ","$12,950.00 ",CA,Antelope Valley High School
,Invoice,9/17/18,INV17928,"Installation of  75” ActivPanels and wall mount, (1)Lenovo Micro PC behind panels (right side), Webcam, Audio Enhancement with 4 Wall Speakers.  (1) Data run from existing data port in room.  All cabling and raceway included.",10.00,"$1,150.00 ","$11,500.00 ",CA,Antelope Valley High School
,Invoice,7/2/18,INV17699,LENOVO : Lenovo Essential Wireless Keyboard and Mouse Combo - US English,10.00,$49.99 ,$499.90 ,CA,Antelope Valley High School
,Invoice,7/2/18,INV17699,"LENOVO : ThinkCentre M910q, Intel i5-7500T (2.7GHz,4C ), Windows 10 Pro 64, 8.0GB, 1x500GB SATA, (x), Bluetooth , 3 Year On-site",10.00,$849.00 ,"$8,490.00 ",CA,Antelope Valley High School
,Invoice,7/2/18,INV17699,Logitech HD Pro Webcam C920. Web camera - color - 1920 x 1080 - audio - USB 2.0 - H.264,10.00,$79.99 ,$799.90 ,CA,Antelope Valley High School
,Invoice,4/11/18,INV17512,"Promethean ActivPanel 70"" with ActivConnect OPS-G - 2 x pen, Vesa mount & cable pack. ActivInspire Professional edition available FOC.",1.00,"$4,199.00 ","$4,199.00 ",CA,Antelope Valley High School
,Invoice,3/6/18,INV17431,ActivConnect G-Series collaboration device           **Digital Edge Control #ESD112-DE-16A**,9.00,$249.00 ,"$2,241.00 ",CA,Antelope Valley High School District
,Invoice,6/25/18,INV17670,"ActivPanel 75"" 4K with activConnect OPS-G - 2 x Pen, Vesa mount & cable pack included. ActivInspire Professional Edition available FOC.",4.00,"$3,999.00 ","$15,996.00 ",CA,Antelope Valley High School District
,Invoice,6/27/18,INV17683,"ActivPanel 75"" 4K with activConnect OPS-G - 2 x Pen, Vesa mount & cable pack included. ActivInspire Professional Edition available FOC.",6.00,"$4,799.00 ","$28,794.00 ",CA,Antelope Valley High School District
,Invoice,3/26/18,INV17478,"Audio Enhancement Sentinel Alert System PAL w/4 Ceiling Speakers (kit)   3010-0100 Power Supply Switching for the Achiever, Ultimate III, Elite II, MS400, GL300 and IR Receiver 1 each 3120-0001 Battery Panasonic rechargeable nickel metal hydride AA battery (orange)  2 each 3110-0021 Charger Wall Mount Mic Charger - AEBC-16 1 each 3100-0076 Microphone New Micro Infrared Handheld Microphone 1 each   3000-0456 CA-50 Amplifier (Power Supply 3010-0100 Sold Separately)  1 each 1300-1233 Cable - 50ft  Cat6 Plenum w/Molded Boot - Black 1 each   3200-0003 Cable Wire Speaker 50 ft tinned plenum rated speaker wire 1 each 3200-0002 Cable Wire Speaker 75 ft tinned plenum rated speaker wire 1  each   3400-0018 Dome Receiver IR-Satellite TLD100 with adapter  1 each   3300-0043 Speaker CS-12 Tile Bridges for Ceiling Plenum Speaker 4 each 3300-0044 Speaker CS-12 Ceiling Speaker with Plenum Rated Back can  4 each   3100-0072 Microphone - AE Infrared Tear-Drop Microphone - Safe Enabled - NBL  1 each",2.00,"$1,295.00 ","$2,590.00 ",CA,Antelope Valley High School District
,Invoice,9/17/18,INV17927,Audio Enhancement Sentinel Alert System PAL w/4 Ceiling Speakers (kit)  3120-0001 Battery Panasonic rechargeable nickel metal hydride AA battery (orange)  2 each 3110-0021 Charger Wall Mount Microphone Charger - AEBC-16 1 each 3100-0076 Microphone New Micro Infrared Handheld Microphone 1 each 3000-0456 CA-50 Amplifier  1300-1233 Cable - 50ft  Cat6 Plenum w/Molded Boot - Black 1 each    3200-0003 Cable Wire Speaker 50 ft tinned plenum rated speaker wire 1 each 3200-0002 Cable Wire Speaker 75 ft tinned plenum rated speaker wire 1  each    3400-0018 Dome Receiver IR-Satellite TLD100 with adapter  1 each    3300-0043 Speaker CS-12 Tile Bridges for Ceiling Plenum Speaker 4 each 3300-0044 Speaker CS-12 Ceiling Speaker with Plenum Rated Back can  4 each   3100-0072 Microphone - AE Infrared Tear-Drop Microphone - Safe Enabled - NBL  1 each,4.00,"$1,295.00 ","$5,180.00 ",CA,Antelope Valley High School District
,Invoice,1/4/18,INV17257,"Installation Lenovo Micro PC behind panels (right side), Install Data Run from existing data port to PC, Webcam, Integrate existing Audio Enhancement System, Integrate existing SP Controller. All cabling and raceway included",1.00,"$1,150.00 ","$1,150.00 ",CA,Antelope Valley High School District
,Invoice,11/8/18,INV18089,"Installation of  (1) 75” ActivPanel and Motorized Electric Wall Mount, (1) 65"" Phillips TV and Fixed Wall Mount, (2) Lenovo Micro PC behind ActivPanel  and 65” Phillips TV, Audio Enhancement System and (4) ceiling Speakers, (2) Pixie Plus AV controller system (right side of AP) and Programing.  (2) Data runs from existing ports in classroom.  All cabling and raceway included.  ***Palmdale Prep.***",4.00,"$2,970.00 ","$11,880.00 ",CA,Antelope Valley High School District
,Invoice,7/31/18,INV17780,"Installation of  75” ActivPanels and wall mount, (1)Lenovo Micro PC behind panels (right side), Webcam.  (1) Data run from existing data port in room.  All cabling and raceway included.   ***Quartz Hill HS Library Tutoring Rooms*** ***DigitalEdge Contract #ESD112-DE-16A***",6.00,$876.00 ,"$5,256.00 ",CA,Antelope Valley High School District
,Invoice,4/23/18,INV17541,"Installation of (1)  86” ActivPanels and wall mount provided by the district,(2) 75"" Vizio TVs with Wall Mounts (1)Lenovo Micro PC behind panels (right side), (1) Webcams, Audio Enhancement System with 4 Wall Speakers and(1) Data run from existing data port in room to PC. All cabling and raceway included.   ***Student Services Conference Room***",1.00,"$2,250.00 ","$2,250.00 ",CA,Antelope Valley High School District
,Invoice,1/4/18,INV17257,"Installation of 75"" Activpanel and wall mount, (1) Lenovo Micro PC behind panels (right side), Install Data Run from existing data port to PC, Webcam, Audio Enhancement with (4) Ceiling Speakers, Installation of 50’ HDMI Cable to mirror existing TV.  All cabling and raceway included",1.00,"$1,250.00 ","$1,250.00 ",CA,Antelope Valley High School District
,Invoice,1/4/18,INV17257,"Installation of 75"" ActivPanel and wall mount, (1) Lenovo Micro PC behind panels (right side), Webcam, Audio Enhancement with (4) ceiling speakers, all cabling and raceway included.              ***DigitalEdge Contract #ESD112-DE-16A***",1.00,"$1,150.00 ","$1,150.00 ",CA,Antelope Valley High School District
,Invoice,4/23/18,INV17541,Installation of Audio Enhancement System and (4) Ceiling Speakers.  ***Business Services Conference Room***  **Digital Edge Control #ESD112-DE-16A**,1.00,$400.00 ,$400.00 ,CA,Antelope Valley High School District
,Invoice,1/4/18,INV17257,"Installation of Lenovo Micro PC behind panels (right side), Install Data Run from existing data port to PC, Webcam, Integrate existing Audio Enhancement System, Integrate existing SP Controller. All cabling and raceway included",1.00,"$1,150.00 ","$1,150.00 ",CA,Antelope Valley High School District
,Invoice,3/5/18,INV17429,LENOVO : Lenovo Essential Wireless Keyboard and Mouse Combo - US English,5.00,$49.99 ,$249.95 ,CA,Antelope Valley High School District
,Invoice,3/26/18,INV17478,LENOVO : Lenovo Essential Wireless Keyboard and Mouse Combo - US English,1.00,$49.99 ,$49.99 ,CA,Antelope Valley High School District
,Invoice,6/27/18,INV17683,LENOVO : Lenovo Essential Wireless Keyboard and Mouse Combo - US English,6.00,$49.99 ,$299.94 ,CA,Antelope Valley High School District
,Invoice,9/17/18,INV17927,LENOVO : Lenovo Essential Wireless Keyboard and Mouse Combo - US English,8.00,$49.99 ,$399.92 ,CA,Antelope Valley High School District
,Invoice,6/27/18,INV17683,"LENOVO : ThinkCentre M910q, Intel i5-7500T (2.7GHz,4C ), Windows 10 Pro 64, 8.0GB, 1x500GB SATA, (x), Bluetooth , 3 Year On-site",6.00,$849.00 ,"$5,094.00 ",CA,Antelope Valley High School District
,Invoice,9/17/18,INV17927,"LENOVO : ThinkCentre M910q, Intel i5-7500T (2.7GHz,4C ), Windows 10 Pro 64, 8.0GB, 1x500GB SATA, (x), Bluetooth , 3 Year On-site",8.00,$849.00 ,"$6,792.00 ",CA,Antelope Valley High School District
,Invoice,1/4/18,INV17257,"Lenovo Micro PC behind panels (right side), Install Data Run from existing data port to PC, Webcam, Audio Enhancement with (4) Ceiling Speakers, All cabling and raceway included",1.00,"$1,150.00 ","$1,150.00 ",CA,Antelope Valley High School District
,Invoice,1/4/18,INV17257,"Lenovo Micro PC behind panels (right side), Webcam, Audio Enhancement with (4) Ceiling Speakers, All cabling and raceway included",1.00,"$1,150.00 ","$1,150.00 ",CA,Antelope Valley High School District
,Invoice,3/26/18,INV17478,"Lenovo ThinkCentre M710q 10MR - Tiny desktop - 1 x Core i5 6500T / 2.5 GHz - RAM 8 GB - SSD 256 GB - TCG Opal Encryption, NVM Express (NVMe) - HD Graphics 530 - GigE - WLAN: 802.11a/b/g/n/ac, Bluetooth 4.1 - Win 7 Pro 64-bit (includes Win 10 Pro 64-bit License",1.00,$869.00 ,$869.00 ,CA,Antelope Valley High School District
,Invoice,3/27/18,INV17483,"LENOVO ThinkCentre M910q. Intel i7-7700T (2..90GHz, 8MB), Windows 10 Pro 64, 8.0GB, 1x500GB SATA, (x), Bluetooth, 3-year on-site.",1.00,$929.00 ,$929.00 ,CA,Antelope Valley High School District
,Invoice,4/23/18,INV17541,Logitech HD Pro Webcam C920. Web camera - color - 1920 x 1080 - audio - USB 2.0 - H.264,1.00,$79.99 ,$79.99 ,CA,Antelope Valley High School District
,Invoice,6/25/18,INV17670,Logitech HD Pro Webcam C920. Web camera - color - 1920 x 1080 - audio - USB 2.0 - H.264,4.00,$79.99 ,$319.96 ,CA,Antelope Valley High School District
,Invoice,6/27/18,INV17683,Logitech HD Pro Webcam C920. Web camera - color - 1920 x 1080 - audio - USB 2.0 - H.264,6.00,$79.99 ,$479.94 ,CA,Antelope Valley High School District
,Invoice,6/14/18,INV17638,On-site troubleshooting - per hour,6.00,$165.00 ,$990.00 ,CA,Antelope Valley High School District
,Invoice,6/25/18,INV17670,"Philips 65"" Prosumer (16/7) D-LED, 1920X1080, 350 cd/m2, Landscape only, Dual HDMI inputs, DP/DVI/VGA Daisy Chain (input and Output), OPS, Multiple Video/Audio USB thumb drive Auto-Playback, 7-event Day-part Scheduling on All inputs (including USB and RJ45), Failover on All inputs (including USB and RJ45), USB Port Disable, Network Auto-Restore, Wake-up on LAN, SmartCMS, SmartBrowser, Smart Control, IR Pass through and IP Loop through, Smart Insert, Edge alignment plate, Color Calibration Tool Option, 3 Year Warranty (3 year advanced exchange)",4.00,"$1,999.00 ","$7,996.00 ",CA,Antelope Valley High School District
,Invoice,3/26/18,INV17478,"VIZIO Smartcast E-Series 75"" Ultra HD HDR XLED Display",2.00,"$1,658.00 ","$3,316.00 ",CA,Antelope Valley High School District
,Invoice,7/9/18,INV17713,SMART Interactive Whiteboard - SBX885,1.00,"$2,519.00 ","$2,519.00 ",CA,Bear Gulch Elementary School
,Invoice,5/10/18,INV17589,Boxlight Mimio 240 Projector Lamp module,2.00,$149.00 ,$298.00 ,CA,Bel Air Elementary School
