,Customer ID,Cohort Yr,Year,Document Number,Date,State,Month,Qty,Unit Price,Sales Total,Revenue,log_sales,purchases
0,100001,2017,2017,INV16230,2017-02-02,WA,2,1,6279.0,6279.0,6279.0,8.744966011114109,1
1,100002,2020,2020,INV19281,2020-07-07,CA,28,4,4747.0,4747.0,4747.0,8.465268118551318,1
2,100003,2020,2020,INV19416,2020-09-15,CA,9,7,1430.0,10010.0,10010.0,9.211339872309265,1
3,100004,2015,2015,INV13168,2015-01-07,WA,1,1,621.75,621.75,621.75,6.432538082683514,6
4,100004,2015,2015,INV13220,2015-01-20,WA,2,10,623.25,3116.25,3116.25,8.044385634837768,6
5,100004,2015,2015,INV13463,2015-03-10,WA,6,14,720.75,5045.25,5045.25,8.526202485573824,6
6,100004,2015,2015,INV14075,2015-08-06,WA,16,12,720.75,4324.5,4324.5,8.372051805746567,6
7,100004,2015,2015,INV14481,2015-10-20,WA,20,10,720.75,3603.75,3603.75,8.189730248952612,6
8,100004,2015,2016,INV14968,2016-02-22,WA,4,20,748.0,7480.0,7480.0,8.919988070968524,6
9,100005,2017,2017,INV16609,2017-05-30,OR,5,1,80.0,80.0,80.0,4.382026634673881,1
10,100006,2016,2016,INV15645,2016-08-31,OR,8,1,859.0,859.0,859.0,6.755768921984255,1
11,100007,2015,2015,INV13643,2015-04-30,NV,4,1,112.0,112.0,112.0,4.718498871295094,10
12,100007,2015,2015,INV13759,2015-05-29,NV,5,1,5298.3,5298.3,5298.3,8.575141293370436,10
13,100007,2015,2015,INV13763,2015-05-29,NV,5,1,1040.0,1040.0,1040.0,6.946975992135418,10
14,100007,2015,2015,INV13829,2015-06-18,NV,6,1,350.0,350.0,350.0,5.857933154483459,10
15,100007,2015,2016,INV14854,2016-01-20,NV,3,3,335.0,335.0,335.0,5.814130531825066,10
16,100007,2015,2016,INV14991,2016-02-28,NV,2,1,78.0,78.0,78.0,4.356708826689592,10
17,100007,2015,2016,INV15018,2016-03-07,NV,12,4,5722.0,5722.0,5722.0,8.652073673610056,10
18,100007,2015,2016,INV15081,2016-03-24,NV,6,2,670.0,670.0,670.0,6.507277712385012,10
19,100007,2015,2018,INV18133,2018-12-13,NV,24,5,1360.0,1540.0,1540.0,7.3395376954076745,10
20,100007,2015,2019,INV18154,2019-01-02,NV,2,2,850.0,850.0,850.0,6.745236349484363,10
21,100008,2017,2017,INV16468,2017-04-24,WA,4,2,4144.0,8288.0,8288.0,9.022563964499264,2
22,100008,2017,2018,INV17601,2018-05-21,WA,15,3,2595.0,2595.0,2595.0,7.861341795599989,2
23,100009,2015,2015,INV14164,2015-08-28,WA,16,4,1004.0,2008.0,2008.0,7.60489448081162,2
24,100009,2015,2015,INV14351,2015-10-01,WA,20,4,551.0,1102.0,1102.0,7.004881989712859,2
25,100010,2016,2016,INV15736,2016-09-20,CA,27,15,129.0,645.0,645.0,6.4692503167957724,2
26,100010,2016,2016,INV15961,2016-11-07,CA,11,5,70.0,350.0,350.0,5.857933154483459,2
27,100011,2017,2017,INV17159,2017-11-30,CA,22,2,1945.0,1945.0,1945.0,7.573017256052546,1
