,Customer ID,Customer,Type,Date,Year,Month,Document Number,Description,Qty,Unit Price,Sales Total,Revenue,State
0,100625,Nome Public Schools,Invoice,2020-07-07,2020,7,INV19283,Safari Montage - K-12 Super Core Content Package (Renewal)  Renewal Period: 8/30/2020 - 8/29/2021,1,2750.0,2750.0,2750.0,AK
1,100625,Nome Public Schools,Invoice,2020-07-07,2020,7,INV19283,Safari Montage Additional Schlessinger Media K-8 Content Package   Renewal Period: 8/30/2020 - 8/29/2021,1,495.0,495.0,495.0,AK
2,100625,Nome Public Schools,Invoice,2020-07-07,2020,7,INV19283,Safari Montage Algebra's Cool - Content Package (Renewal)  Renewal Period: 8/30/2020 - 8/29/2021,1,500.0,500.0,500.0,AK
3,100625,Nome Public Schools,Invoice,2020-07-07,2020,7,INV19283,"SAFARI Montage Learning Object Repository Annual School License Renewal - Interoperability Support Service - SAFARI Montage LOR Exchange Proxy Server Software - Annual software upgrades and tech support for CreationStation, Managed Home Access, Multi-Format Auto-Converter - Excludes hardware  Renewal Period: 8/30/2020 - 8/29/2021",1,1500.0,1500.0,1500.0,AK
4,100625,Nome Public Schools,Invoice,2020-07-07,2020,7,INV19283,Safari Montage Math's Cool - Content Package (Renewal)  Renewal Period: 8/30/2020 - 8/29/2021,1,500.0,500.0,500.0,AK
5,100625,Nome Public Schools,Invoice,2020-07-07,2020,7,INV19283,Safari Montage Video Ency 20th Century Content Package  Renewal Period: 8/30/2020 - 8/29/2021,1,295.0,295.0,295.0,AK
6,100625,Nome Public Schools,Invoice,2020-07-07,2020,7,INV19283,Safari Montage Visual Dictionary Interactive Image Content Package (Renewal)  Renewal Period: 8/30/2020 - 8/29/2021,1,295.0,295.0,295.0,AK
7,100625,Nome Public Schools,Invoice,2019-07-01,2019,7,INV18511,Safari Montage - K-12 Super Core Content Package (Renewal),1,2500.0,2500.0,2500.0,AK
8,100625,Nome Public Schools,Invoice,2019-07-01,2019,7,INV18511,Safari Montage Additional Schlessinger Media K-8 Content Package,1,495.0,495.0,495.0,AK
9,100625,Nome Public Schools,Invoice,2019-07-01,2019,7,INV18511,Safari Montage Algebra's Cool - Content Package (Renewal),1,500.0,500.0,500.0,AK
10,100625,Nome Public Schools,Invoice,2019-07-01,2019,7,INV18511,Safari Montage K-6 Supplemental Content Package (Renewal),1,250.0,250.0,250.0,AK
11,100625,Nome Public Schools,Invoice,2019-07-01,2019,7,INV18511,Video Ency 20th Century Content Package (Renewal) - Content Renewal Period 8/30/2019 - 8/29/2020,1,295.0,295.0,295.0,AK
12,100625,Nome Public Schools,Invoice,2018-09-04,2018,9,INV17859,Safari Montage Additional Schlessinger Media K-8 Content Package,1,495.0,495.0,495.0,AK
13,100625,Nome Public Schools,Invoice,2018-09-04,2018,9,INV17859,SAFARI Montage Math's Cool - Content Package - Renewal,1,500.0,500.0,500.0,AK
14,100625,Nome Public Schools,Invoice,2018-09-04,2018,9,INV17859,Safari Montage Video Ency 20th Century Content Package,1,295.0,295.0,295.0,AK
15,100625,Nome Public Schools,Invoice,2017-07-06,2017,7,INV16708,Additional Schlessinger Media 9-12 Content Package (2010) (Renewal),1,295.0,295.0,295.0,AK
16,100625,Nome Public Schools,Invoice,2017-07-06,2017,7,INV16708,Additional Schlessinger Media K-8 Content Package (2010) (Renewal),1,495.0,495.0,495.0,AK
17,100625,Nome Public Schools,Invoice,2017-07-06,2017,7,INV16708,Algebra'scool Content Package (Renewal),1,500.0,500.0,500.0,AK
18,100625,Nome Public Schools,Invoice,2017-07-06,2017,7,INV16708,K-12 Super Core Content Package (2011) (Renewal),1,2500.0,2500.0,2500.0,AK
