,Customer ID,frequency,recency,T,monetary_value,prob_alive,pred_purchases,exp_avg_order_value,Predicted next year sales,CLT Sales,CLTV,Cohort Yr
0,100004,5.0,411.0,2185.0,4713.95,0.0010323726843712254,0.0010127065033853793,4774.488079240649,4.835155128182974,26.214602340439463,6.815796608514261,2015
1,100007,8.0,1343.0,2072.0,1985.4125,0.22281363180410285,0.32733550154625485,2002.0471800931741,655.3411178150643,3498.3886554962796,909.5810504290328,2015
2,100008,1.0,392.0,1347.0,2595.0,0.1854279286402043,0.11447393074602781,2775.389111330309,317.70970092370544,1577.1451579235206,410.0577410601154,2017
3,100009,1.0,34.0,1952.0,1102.0,0.008473867390630723,0.0038741170671546966,1185.0979541823635,4.591208210548009,24.687055932097973,6.418634542345473,2015
4,100010,1.0,48.0,1563.0,350.0,0.016989687804992736,0.009322109905348474,384.09396880041083,3.5805661911389173,18.35794493072388,4.773065681988209,2016
5,100012,8.0,1500.0,2109.0,15402.0,0.3830107961386874,0.5543520583224907,15522.02568077839,8604.66688547406,46109.67041153595,11988.514306999348,2015
6,100013,1.0,51.0,471.0,500.0,0.20615925376502237,0.25925343818816937,543.86869992713,140.99983037903823,562.9516851139158,146.3674381296181,2019
7,100014,9.0,1758.0,2138.0,2251.5844444444447,0.665656482306911,1.0481358980370374,2268.1798846319684,2377.360760288272,12765.438704441349,3319.0140631547506,2015
8,100015,1.0,115.0,1648.0,1599.0,0.02631322900392053,0.013832707997993372,1714.4848966488933,23.715968942313985,122.99275127752918,31.97811533215759,2016
9,100016,1.0,602.0,1660.0,600.0,0.2347766553801273,0.12269473839112001,650.3851873449429,79.79884041474735,414.48991213148145,107.76737715418518,2016
10,100017,4.0,589.0,2072.0,4020.0,0.01689935558174887,0.014842121378290092,4085.129163928967,60.631982897026454,325.7303890111795,84.68990114290668,2015
11,100019,2.0,1093.0,1220.0,2975.0,0.7578857331718466,0.6764307703484223,3074.3391695177083,2079.577612749192,10028.593134582121,2607.4342149913514,2017
12,100020,14.0,2049.0,2143.0,1236.3999999999999,0.9110547795325126,2.085567669566428,1242.5867869810347,2591.498829558072,13881.892095454905,3609.291944818275,2015
13,100021,9.0,1889.0,1996.0,1557.5555555555557,0.8853898595377643,1.4770628654443174,1569.4009915418064,2318.1039255978935,12263.65285031941,3188.5497410830467,2015
14,100023,1.0,1547.0,2157.0,489.99,0.5781125926902259,0.24295976290306184,533.206399536607,129.5477004098093,711.3305933174232,184.94595426253005,2015
15,100025,2.0,908.0,2150.0,7317.5,0.20505693979387565,0.11580958105249209,7553.863805979792,874.8098026981031,4770.353005068041,1240.2917813176907,2015
16,100026,8.0,1256.0,2145.0,814.125,0.10807599812414143,0.15420337906877535,821.733496146244,126.71408179974931,681.4964294913595,177.1890716677535,2015
17,100027,2.0,235.0,1715.0,2855.5,0.01878654965389538,0.012809087029045142,2951.068428226466,37.80049232582026,196.39864984085563,51.063648958622466,2016
18,100029,1.0,83.0,177.0,503.0,0.6115257996974613,1.1868307252224877,547.0641945496644,649.2725947606343,2237.1457630513073,581.6578983933399,2020
19,100031,32.0,1198.0,1242.0,31980.8603125,0.9381954109312668,7.091723235478014,32042.450793350603,227236.1928128654,1074402.5828962377,279344.6715530218,2017
20,100032,1.0,28.0,2012.0,1160.0,0.007379892121912269,0.003289383967297607,1246.8775168846948,4.101458913224366,22.19494259710635,5.770685075247652,2015
